tutorialarea_shop_title,出售物品一览
area_shop_levelMaxSoldOut,无法再提升\n等级了
area_shopCouplingTalkUnlock_message,{0}{1}[-]{2}级后解锁[-]
band_deckEdit_setupMainBandButton,主乐队\n设定
band_deckEditSituationSelect_memberListLabel,成员一览
band_deckEditSituationSelect_caption,选择要更换的成员！
band_exchange_cellExchangeButton,交换
band_exchange_cellExchangeUpperLabel,已达到交换上限\n无法继续交换
band_exchange_cellExchangeUpperLabel_isHaving,已经拥有\n故无法再次交换
band_exchange_cellExpirationLabel,{0}为止
band_exchange_cellResetBalloonMonthly,每月1号\n重置
band_exchange_cellResetBalloonWeekly,每周1\n重置
band_exchange_headerGetSealButton,获得贴纸
band_exchange_duplicatedDialogMessage,已经作为礼物送出故无法再次交换。
band_exchange_expiresDialogMessage,超过交换期限，无法交换。
band_exchange_expiresDialogTitle,过期
band_exchange_expiresLabel,交换期限
band_exchange_eventTitle,交换道具一览 [{0}]
band_memberList_waitingRoomButton,休息室
band_practice_emptyTicket,暂无可用练习券
band_situationDetail_changeIllustButton,更换立绘
band_situationDetail_episodeButton,小故事
band_situationDetail_expandButton,扩大
band_situationDetail_forLevelUp,还需要
band_situationDetail_memorialEpisodeButton,回忆小故事
band_situationDetail_practiceButton,练习
band_situationDetail_trainingButton,特训
band_situationDetail_emptyEpisode,当前成员没有专属剧情。
band_situationDetail_buttonSkillPractice,技能\n练习
band_skillPractice_emptyTicket,没有技能练习券。
band_skillPractice_tabSkillTicket,技能练习券
band_skillPractice_tabWaitingRoom,休息室
band_sortingKind_level,等级
band_sortingKind_paramAll,综合能力
band_sortingKind_paramPerformance,演出
band_sortingKind_paramTechnique,技巧
band_sortingKind_paramVisual,形象
band_sortingKind_rarity,稀有度
band_sortingKind_timestamp,入手顺序
band_sortingKind_skillLevel,技能等级
band_sortingOrder_asc,升序
band_sortingOrder_desc,降序
band_top_deckEditButton,乐队编成
band_top_exchangeShopButton,交换所
band_top_memberListButton,成员一览
band_top_profileButton,个人资料
band_training_emptyMessage,没有可以特训的成员。\n仅限等级MAX的★★★以上的成员，\n可以特训。
band_waitingRoom_allExchangeSelectButton,　选择全员
band_waitingRoom_emptyMemberMessage,没有成员。
band_waitingRoom_exchangeButton,交换
band_waitingRoom_getMichelleSealLabel,获得米歇尔贴纸
band_waitingRoom_selectedCardLabel,已选择{0}人
bandEdit_editError_title,编成错误
bandEdit_memberShortageError_contents,主乐队请设定5位成员。
challengeEvent_common_scoreRankingCheckButton,分数排行
challengeEvent_common_scoreRankingRewardCheckButton,分数排行报酬
challengeEvent_common_deckBonus,组队加成
challengeEvent_top_challengeLiveEvent,挑战LIVE活动
challengeEvent_top_description,收集挑战点数来完成挑战乐曲吧!
challengeEvent_result_scoreaAttackCP_Description,※完成挑战乐曲后无法获得挑战点数。
challengeEvent_result_scoreaAttackMember_Description,※完成挑战乐曲后获得的活动分数中\n   成员加成不会发挥作用。
challengeEvent_ranking_description,最高分数取全部难易度中最高的分数记录。分数相同的情况下、按照先来后到的顺序记录。
characterSelect_description,请选择角色
commonEvent_complete_storyBR,已解锁\n所有剧情。
commonEvent_complete_reward,已获得了所有的报酬。
commonEvent_currentGrade,现在的名次
commonEvent_eventNotEntry,活动已结束。\n请等待下次活动开展。
commonEvent_eventPoint,活动点数
commonEvent_eventPRanking,活动点数排行榜
commonEvent_getEventPoint,获得活动点数
commonEvent_nextStory,下一章剧情
commonEvent_silde_title,游戏方法
commonEvent_requireNextReward,下一个报酬
commonEvent_rewardDistributionDescription,报酬预定于 {0}时候发放
commonEvent_point,{0}P
commonEvent_ranking_personal,{0}名
commonEvent_releasedStory,{0}/{1}话   已解锁
commonEvent_status_open,举办中
commonEvent_status_open_day,举办日
commonEvent_status_collection,排行榜结算中
commonEvent_status_result,结果发布
commonEvent_story_descriptionLive,在演出中获得活动点数！
commonEvent_totalPoint,累计活动点数
commonEvent_eventBoxGacha_title,去麻里奈小姐那里领取奖品吧！
costume_defaultDescription,编成成员的服装
costume_defaultDescriptionDetail,※没有被编入主乐队的成员，会显示「舞台」服装。
degreeSelect_currentDegree_caption,现在的称号
degreeSelect_message_notExist,没有已获得的称号。
degreeSelect_selectDegree_eventTab,活动
degreeSelect_selectDegree_normalTab,通常
degreeSelect_selectDegree_caption,更改称号
difficulty_easy,EASY
difficulty_normal,NORMAL
difficulty_hard,HARD
difficulty_expert,EXPERT
dialog_achievement_a,A
dialog_achievement_b,B
dialog_achievement_c,C
dialog_achievement_combo_english,COMBO
dialog_achievement_combo,COMBO
dialog_achievement_fullCombo,全连
dialog_achievement_reward,达成报酬
dialog_achievement_s,S
dialog_achievement_ss,SS
dialog_achievement_score,得分
dialog_achievement_scoreRank,得分等级
dialog_achievement_viewReward,达成报酬一览
dialog_ageAuth_attention,※中途无法更改※
dialog_ageAuth_errorMessage,出生年月不正确。
dialog_ageAuth_message,请输入出生年月。
dialog_ageAuth_title,年龄确认
dialog_ageAuth_wordChristianEra,西历
dialog_ageAuth_wordMonth,月生
dialog_ageAuth_wordYear,年
dialog_ageAuthDone_message,[505050]年龄已确认。[-]
dialog_ageAuthDone_title,完成输入
dialog_ageAuthPurchaseError_title,购买错误
dialog_areaItemDetail_title,区域道具详情
dialog_areaShop_buyConfirm,要购买这个区域道具吗？
dialog_areaShop_buyMusicConfirm,购买这首乐曲吗？
dialog_areaShop_levelupConfirm,要提升这个区域道具的等级吗？
dialog_areaShop_buyMusic,已购买乐曲！
dialog_areaShop_levelup,区域道具的等级上升了！
dialog_areaShop_replace,要更换设置中的区域道具？
dialog_areaShop_send,购买成功！
dialog_areaShop_requireFormat,{0}/{1}
dialog_areaShop_bandRank,乐队等级
dialog_areaShop_requireItem,必需道具
dialog_areaShop_requireItemAndBandRank,必需道具・乐队等级
dialog_areaShopReplace_replaceButton,更换
dialog_areaShopReplace_putting,设置中
dialog_areaItemDetail_captionFlavor,说明
dialog_areaItemDetail_captionLevel,等级
dialog_areaItemDetail_captionParamUp,区域道具效果
dialog_areaItemDetail_captionPlace,设置位置
dialog_areaItemDetail_effect,效果
dialog_areaItemDetail_tabDetail,详细信息
dialog_areaItemDetail_tabTalk,解锁对话
dialog_areaItemDetail_requireItem,必要金币・道具
dialog_badPenalty_leftTime,功能限制剩余时间：
dialog_badPenalty_message,非常抱歉，由于您在演出中的行为给其他用户造成了负面影响，\n所以您的部分功能将暂时受到限制。感谢您的理解与支持。
dialog_badPenalty_title,请注意
dialog_bandNameChange_message,已成功更改乐队名。
dialog_bandNameChange_title,更改乐队名
dialog_bandNameChangeError_message,更改乐队名失败。
dialog_bandRankReward_title,乐队等级报酬一览
dialog_bandRankReward_untilRankup,距离升级还有
dialog_bandRankReward_totalExp,累计EXP
dialog_bandRankReward_bandStoryDescription,乐队剧情{0}\n{1}
dialog_bandRankReward_areaItemDescription,{0}等级上限{1}解锁
dialog_bandRankReward_rewardDegree,称号「{0}」
dialog_bandRankReward_rewardList_title,获得报酬
dialog_bandRankReward_rewardList_description,已获得乐队等级的达成报酬！
dialog_playerSearchError_message,无法找到指定玩家。
dialog_playerSearchError_title,错误
dialog_playerSearch_description,请输入玩家的ID。
dialog_playerSearch_searchButtonLabel,搜索
dialog_billingNotSurpported_message,您使用的设备无法进行购买操作。
dialog_expendCP_title,选择要消费的挑战点数
dialog_expendCP_warning,※消费的挑战点数越多，获得的活动点数越多。\n※消费挑战点数的多少对演出结算分数没有影响。\n※进行挑战乐曲演出不会消耗LIVE BOOST。
dialog_expendCP_shortage,挑战点数不足。
dialog_cheatError_message,由于发生了不正当的通信\n将返回至标题。
dialog_costume_getMessage,获得了新服装。
dialog_costume_getTitle,获得服装
dialog_deckEditBandName_title,更改乐队名
dialog_deckEditDeleteDeck_message,重置这个乐队。\n确定吗？
dialog_deckEditDeleteDeck_title,重置
dialog_deckEditDeleteDeckDone_message,乐队已重置。
dialog_deckEditDeleteDeckDone_title,重置
dialog_deckEditDeleteDeckError_message,重置乐队失败。
dialog_deckEditMainBandSelected_message,已把{0}设为主乐队。
dialog_deckEditMainBandSelected_title,更改主乐队
dialog_deckEditNotEnoughMemberError_message,由于没有设定5名成员，\n无法成为主乐队。
dialog_deckEditSameCharacterTitle,更换确认
dialog_deckNameEdit_attentionMessage,８个字以内
dialog_deckNameEdit_message,请输入乐队名。
dialog_deckNameEdit_placeholder,乐队名
dialog_deckNameEdit_title,乐队名
dialog_deckRecommend_title,推荐编成
dialog_deckRecommend_captionPriority,优先排序
dialog_deckRecommend_caption,优先乐队
dialog_deckRecommend_captionType,优先种类
dialog_deckRecommend_noConditions,未指定
dialog_deckRecommend_priorityType,种类
dialog_deckRecommend_priorityBand,乐队
dialog_deckRecommend_finishDeckChange,已按照默认推荐组成了乐队
dialog_degreeDetail_title,称号详细
dialog_degreeDetail_acquiredCondition,说明
dialog_editUserName_title,输入玩家名
dialog_editUserName_body,请输入你的名字。
dialog_editUserName_limitWord,10个字以内
dialog_editUserName_canChangeMessage,※用户名之后也可以更改※
dialog_encoreConfirm_title,再进行一次演出
dialog_encoreConfirm_message,要留在同一个房间\n再进行一次演出吗？
dialog_episodeConfirm_message,阅读小故事「{0}」吗？
dialog_episodeConfirm_title,小故事
dialog_episodeParamUp_title,小故事达成奖励
dialog_episodeParamUp_description,的\n参数提升了！
dialog_episodePlay_title,小故事
dialog_episodeRead_title,小故事达成奖励
dialog_episodeUnlock_message,消费以下的道具，\n解锁小故事「{0}」吗？
dialog_episodeUnlock_needLevelLabel,解锁等级 {0}级以上
dialog_episodeUnlock_title,小故事解锁
dialog_episodeUnlockedError_message,不正数据。
dialog_episodeUnlocked_message,小故事「{0}」解锁了。\n直接阅读吗？
dialog_episodeUnlocked_title,已解锁
dialog_exchange_exchangeCount,交换数
dialog_exchange_exchangeButton,交换
dialog_exchange_exchangeOkButton,OK
dialog_exchangeDone_title,交换成功！
dialog_exchangeQuantity_title,要交换多少个？
dialog_exchangeConfirm_title,请确认要交换的数量
dialog_exchange_periodOver,交换时间结束。
